opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,industry,won,amount,days_to_deadline,employee_win_rate,industry_encoded,is_repeat_customer,priority_encoded
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,Manufacturing,1,4631.0,122,0.6995305164319249,2,1,1
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,Manufacturing,1,3393.0,126,0.7039473684210527,2,1,2
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,Manufacturing,0,0.0,118,0.6545454545454545,2,1,0
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,Telecom,1,3284.0,121,0.6545454545454545,6,1,1
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,Retail,1,61.0,119,0.6666666666666666,4,1,0
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,Manufacturing,0,0.0,122,0.6096256684491979,2,1,0
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,Energy,1,46.0,121,0.6349206349206349,1,1,1
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,Telecom,0,0.0,130,0.6553398058252428,6,1,2
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,Manufacturing,1,50.0,131,0.6615384615384615,2,1,0
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,Banking,1,1014.0,124,0.6321243523316062,0,1,1
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,Retail,1,561.0,138,0.6311030741410488,4,1,0
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,Energy,1,590.0,133,0.6397058823529411,1,1,0
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,Banking,1,61.0,122,0.6666666666666666,0,1,0
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,Manufacturing,0,0.0,121,0.6321243523316062,2,1,0
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,Telecom,1,58.0,114,0.6349206349206349,6,1,2
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,Energy,1,4899.0,123,0.6995305164319249,1,1,0
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,Banking,0,0.0,110,0.6446280991735537,0,1,0
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,Retail,1,67.0,112,0.6666666666666666,4,1,0
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,Telecom,1,4338.0,114,0.6553398058252428,6,1,2
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,Telecom,1,578.0,127,0.6238805970149254,6,1,0
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,Shipping,1,556.0,109,0.6540084388185654,5,1,0
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,Retail,1,635.0,111,0.6545454545454545,4,1,2
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,Banking,1,3045.0,115,0.6962025316455697,0,1,2
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,Energy,1,1233.0,121,0.6097560975609756,1,1,2
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,Public Sector,1,60.0,116,0.6666666666666666,3,1,0
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,Telecom,0,0.0,136,0.6190476190476191,6,1,2
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,Retail,0,0.0,114,0.6311030741410488,4,1,2
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,Shipping,1,1170.0,126,0.6311030741410488,5,1,0
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,Manufacturing,1,1162.0,125,0.6288659793814433,2,1,2
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,Shipping,1,3725.0,118,0.6311030741410488,5,1,0
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,Manufacturing,1,559.0,135,0.6238805970149254,2,1,1
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,Manufacturing,0,0.0,115,0.6545454545454545,2,1,2
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,Public Sector,0,0.0,124,0.6311030741410488,3,1,1
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,Manufacturing,1,4667.0,108,0.6553398058252428,2,1,0
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,Banking,1,903.0,120,0.6288659793814433,0,1,2
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,Manufacturing,1,1180.0,116,0.6995305164319249,2,1,0
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,Manufacturing,1,487.0,108,0.6,2,1,1
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,Retail,1,3180.0,106,0.5497835497835498,4,1,0
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,Retail,0,0.0,118,0.6311030741410488,4,1,2
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,Telecom,1,3563.0,119,0.6311030741410488,6,1,2
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,Retail,1,4704.0,123,0.6601307189542484,4,1,1
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,Public Sector,1,5585.0,114,0.5745454545454546,3,1,0
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,Energy,1,25897.0,109,0.6349206349206349,1,1,2
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,Energy,1,1207.0,103,0.6397058823529411,1,1,1
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,Public Sector,0,0.0,108,0.5497835497835498,3,1,2
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,Energy,1,559.0,104,0.5497835497835498,1,1,2
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,Retail,1,1033.0,109,0.6,4,1,0
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,Public Sector,1,462.0,120,0.5745454545454546,3,1,2
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,Energy,0,0.0,100,0.7039473684210527,1,1,0
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,Manufacturing,1,5539.0,113,0.6238805970149254,2,1,2
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,Manufacturing,1,3573.0,114,0.5497835497835498,2,1,1
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,Shipping,1,4926.0,100,0.6288659793814433,5,1,2
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,Public Sector,0,0.0,116,0.6168582375478927,3,1,0
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,Retail,1,62.0,102,0.6550218340611353,4,1,0
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,Telecom,1,4359.0,112,0.6311030741410488,6,1,1
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,Public Sector,1,566.0,129,0.6397058823529411,3,1,2
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,Retail,1,508.0,101,0.6288659793814433,4,1,2
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,Banking,0,0.0,118,0.6446280991735537,0,1,1
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,Telecom,1,51.0,109,0.6666666666666666,6,1,2
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,Shipping,1,4899.0,103,0.6368876080691642,5,1,2
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,Manufacturing,1,5790.0,100,0.6550218340611353,2,1,0
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,Telecom,0,0.0,127,0.5745454545454546,6,1,2
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,Telecom,1,4438.0,100,0.5818965517241379,6,1,2
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,Banking,1,2972.0,114,0.5818965517241379,0,1,1
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,Manufacturing,1,523.0,98,0.5726872246696035,2,1,1
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,Manufacturing,1,3647.0,121,0.6190476190476191,2,1,0
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,Public Sector,1,4200.0,97,0.6245210727969349,3,1,2
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,Telecom,1,1059.0,124,0.6397058823529411,6,1,2
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0,Telecom,0,0.0,101,0.6288659793814433,6,1,2
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,Shipping,1,57.0,98,0.6666666666666666,5,1,0
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,Public Sector,1,3671.0,123,0.6368876080691642,3,1,0
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,Retail,1,58.0,96,0.6190476190476191,4,1,1
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,Retail,1,3956.0,101,0.66875,4,1,0
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,Banking,1,5964.0,96,0.6550218340611353,0,1,2
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,Banking,1,4570.0,101,0.6550218340611353,0,1,2
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,Retail,1,49.0,122,0.6311030741410488,4,1,0
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,Shipping,1,65.0,101,0.6321243523316062,5,1,2
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0,Retail,0,0.0,121,0.6190476190476191,4,1,2
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0,Banking,1,4739.0,102,0.6311030741410488,0,1,0
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,Retail,1,1080.0,115,0.6,4,1,0
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,Energy,1,57.0,106,0.6540084388185654,1,1,2
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,Public Sector,1,469.0,109,0.6097560975609756,3,1,2
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,Banking,1,532.0,96,0.6238805970149254,0,1,2
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,Public Sector,1,538.0,119,0.6545454545454545,3,1,1
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,Banking,1,4829.0,114,0.6446280991735537,0,1,1
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,Shipping,1,5370.0,104,0.6168582375478927,5,1,1
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,Public Sector,1,6499.0,114,0.6168582375478927,3,1,0
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,Manufacturing,1,1161.0,98,0.6311030741410488,2,1,1
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0,Telecom,1,576.0,118,0.6238805970149254,6,1,0
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0,Public Sector,1,979.0,111,0.6995305164319249,3,1,0
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0,Retail,1,43.0,99,0.6666666666666666,4,1,1
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0,Banking,1,57.0,98,0.5818965517241379,0,1,1
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0.0,Manufacturing,0,0.0,119,0.5497835497835498,2,1,1
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0,Retail,1,948.0,103,0.5497835497835498,4,1,2
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0,Energy,1,3012.0,101,0.6962025316455697,1,1,1
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0,Banking,1,3665.0,105,0.6245210727969349,0,1,2
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,Telecom,1,564.0,114,0.6321243523316062,6,1,0
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0.0,Retail,0,0.0,95,0.6190476190476191,4,1,2
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0,Banking,1,3463.0,111,0.6245210727969349,0,1,1
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,Telecom,1,513.0,115,0.6550218340611353,6,1,0
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0,Public Sector,1,590.0,117,0.6550218340611353,3,1,0
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511.0,Shipping,1,4511.0,119,0.6311030741410488,5,1,0
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0,Banking,0,0.0,91,0.5497835497835498,0,1,2
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0,Public Sector,1,546.0,115,0.6,3,1,1
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0,Manufacturing,1,46.0,94,0.6368876080691642,2,1,0
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891.0,Manufacturing,1,4891.0,97,0.6311030741410488,2,1,0
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0,Manufacturing,1,1040.0,91,0.7039473684210527,2,1,0
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0,Manufacturing,1,1108.0,92,0.7039473684210527,2,1,2
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0,Energy,1,59.0,92,0.7039473684210527,1,1,2
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406.0,Manufacturing,1,5406.0,118,0.6477272727272727,2,1,1
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0,Telecom,1,515.0,108,0.6238805970149254,6,1,2
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,Retail,1,583.0,94,0.6615384615384615,4,1,0
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,54.0,Retail,1,54.0,102,0.6666666666666666,4,1,1
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0,Public Sector,1,60.0,115,0.6368876080691642,3,1,0
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,0.0,Shipping,0,0.0,99,0.6311030741410488,5,1,0
TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0.0,Retail,0,0.0,106,0.6311030741410488,4,1,2
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0,Retail,1,516.0,110,0.6311030741410488,4,1,1
B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829.0,Energy,1,4829.0,109,0.6311030741410488,1,1,2
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0,Shipping,0,0.0,104,0.6615384615384615,5,1,2
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0,Shipping,1,950.0,89,0.6540084388185654,5,1,1
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0.0,Telecom,0,0.0,96,0.6368876080691642,6,1,0
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513.0,Banking,1,513.0,106,0.6550218340611353,0,1,0
3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,2016-12-04,2017-03-09,0.0,Banking,0,0.0,95,0.6311030741410488,0,1,1
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522.0,Manufacturing,1,5522.0,98,0.6311030741410488,2,1,0
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,56.0,Public Sector,1,56.0,95,0.5818965517241379,3,1,1
JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673.0,Shipping,1,5673.0,94,0.6553398058252428,5,1,1
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598.0,Telecom,1,598.0,96,0.6397058823529411,6,1,2
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0,Energy,1,5787.0,102,0.6288659793814433,1,1,1
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0,Retail,1,1070.0,94,0.6995305164319249,4,1,2
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0,Shipping,1,3677.0,99,0.6601307189542484,5,1,0
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0,Manufacturing,1,5425.0,115,0.6245210727969349,2,1,0
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0,Retail,1,3415.0,108,0.5745454545454546,4,1,0
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0,Public Sector,1,891.0,106,0.6995305164319249,3,1,0
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609.0,Telecom,1,609.0,96,0.5497835497835498,6,1,2
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0,Public Sector,1,54.0,100,0.5726872246696035,3,1,0
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0,Energy,1,1049.0,93,0.6168582375478927,1,1,1
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0,Telecom,1,1152.0,90,0.6245210727969349,6,1,1
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,0.0,Energy,0,0.0,103,0.6096256684491979,1,1,1
1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0,Public Sector,1,4799.0,111,0.6096256684491979,3,1,2
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,2016-12-07,2017-03-12,51.0,Retail,1,51.0,95,0.5818965517241379,4,1,0
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0,Telecom,1,3426.0,86,0.7039473684210527,6,1,0
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51.0,Energy,1,51.0,94,0.6477272727272727,1,1,0
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564.0,Manufacturing,1,564.0,103,0.6397058823529411,2,1,2
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0,Retail,1,5882.0,83,0.66875,4,1,1
UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059.0,Energy,1,5059.0,102,0.5745454545454546,1,1,1
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0,Retail,1,3388.0,93,0.6397058823529411,4,1,0
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0,Energy,1,5410.0,92,0.5726872246696035,1,1,1
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0,Retail,1,978.0,110,0.6540084388185654,4,1,1
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54.0,Telecom,1,54.0,108,0.6368876080691642,6,1,2
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,2016-12-09,2017-03-22,0.0,Public Sector,0,0.0,103,0.6190476190476191,3,1,2
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0,Retail,1,549.0,95,0.6245210727969349,4,1,2
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0,Energy,1,1034.0,95,0.6550218340611353,1,1,2
9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0,Banking,1,4998.0,84,0.5745454545454546,0,1,0
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0,Manufacturing,1,3421.0,109,0.5745454545454546,2,1,2
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425.0,Shipping,1,5425.0,85,0.6238805970149254,5,1,1
Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,55.0,Shipping,1,55.0,96,0.6368876080691642,5,1,0
R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,2016-12-09,2017-03-14,3558.0,Public Sector,1,3558.0,95,0.6321243523316062,3,1,1
0ZHLQFGU,Kami Bicknell,GTXPro,Blackzim,Won,2016-12-10,2017-03-22,4839.0,Telecom,1,4839.0,102,0.6397058823529411,6,1,1
